"A498" "A549.ATCC" "ACHN" "BT.549" "CAKI.1" "CCRF.CEM" "COLO205" "DU.145" "EKVX" "HCC.2998" "HCT.116" "HCT.15" "HL.60.TB." "HOP.62" "HOP.92" "HS578T" "HT29" "IGROV1" "K.562" "KM12" "LOXIMVI" "M14" "MALME.3M" "MCF7" "MDA.MB.231.ATCC" "MDA.MB.435" "MDA.N" "MOLT.4" "NCI.ADR.RES" "NCI.H226" "NCI.H23" "NCI.H322M" "NCI.H460" "NCI.H522" "OVCAR.3" "OVCAR.4" "OVCAR.5" "OVCAR.8" "PC.3" "RPMI.8226" "RXF393" "SF.268" "SF.295" "SF.539" "SK.MEL.2" "SK.MEL.28" "SK.MEL.5" "SK.OV.3" "SN12C" "SNB.19" "SNB.75" "SR" "SW.620" "T.47D" "TK.10" "U251" "UACC.257" "UACC.62" "UO.31" "X786.0"
"1" 5.4 7.434 7.391 4.445 7.186 7.506 5.887 7.229 4.79 6.901 7.472 7.432 7.363 7.367 5.173 3.809 7.446 7.046 7.524 7.284 7.54 7.438 5.58 7.249 4.378 7.356 7.348 7.457 6.991 4.756 7.385 6.156 7.528 6.618 6.341 4.245 5.967 7.505 6.96 7.147 4.637 7.371 7.387 7.406 4.016 5.328 7.022 4.689 7.465 6.214 4.669 7.384 7.38 4.503 4.382 7.12 6.043 7.514 6.669 7.431
"2" 4.936 4.482 4.787 6.325 6.517 6.616 4.876 6.165 4.945 4.716 6.055 4.62 6.487 6.487 6.121 6.043 4.583 4.195 6.572 4.467 6.651 6.535 6.453 4.389 5.235 6.576 6.511 6.565 5.714 6.103 4.6 4.679 4.945 4.857 4.795 4.89 4.659 6.259 6.068 6.631 6.845 6.391 5.507 6.443 7.131 6.138 6.126 5.983 6.476 4.37 5.813 5.617 6.514 5.463 6.389 5.759 6.134 6.43 6.437 6.534
"3" 3.054 3.269 3.451 3 3.515 3.67 3 3.111 3 3 3.162 3.044 3.673 3.308 3.245 3.256 3.073 3.008 3.1 3.059 5.225 3.116 3 3.272 3 3 3 3.906 3 3.015 3.164 3.044 3.652 3.332 3 3 3.156 3.059 3 4.018 3.282 3.372 3.374 3.36 3 3.009 3.284 3.095 3.205 3.065 3.365 3.999 3 3.211 3 3.329 3.243 3.327 3.053 3.269
"4" 4.231 4.521 5.203 4 5.493 5.896 5.306 5.601 3.58 5.455 5.627 5.34 5.608 5.754 5.531 4.849 5.39 5.024 6.455 5.121 6.417 6.171 5.436 5.784 4.612 5.843 5.749 5.798 5.449 4.233 5.41 5.024 5.257 5.791 6.068 5.094 5.064 5.595 5.358 5.756 4.53 5.386 5.236 5.604 5.224 3.429 5.078 5.987 4.623 3.894 5.058 5.906 5.195 5.45 5.712 4.862 4.843 5.755 5.164 5.693
"5" 4.737 5.226 5.075 4.998 5.106 5.764 5.007 4.752 5.105 4.885 5.435 5.305 5.576 5.211 4.694 4.545 5.288 4.783 5.449 5.29 5.108 5.208 4.537 5.355 4.967 4.789 4.757 5.449 5.456 5.412 4.834 5.206 5.388 5.391 5.526 5.334 4.774 5.414 5.019 5.359 5.04 5.149 5.398 5.247 4.584 4.95 5.177 4.866 5.163 5.174 4.937 5.479 5.239 4.964 4.863 5.38 4.954 5.182 5.24 5.219
"6" 4.61 5.255 5.037 4.959 5.025 5.714 4.803 4.727 5.209 4.911 5.438 5.355 5.921 5.115 4.571 4.649 5.357 4.691 5.052 5.275 5.099 5.236 4.801 5.314 4.916 4.829 4.874 5.392 5.424 5.37 4.901 5.369 5.395 5.401 5.44 5.238 5.047 5.314 5.044 5.517 4.998 5.285 5.36 5.289 4.599 5.193 5.076 4.776 5.182 5.281 4.533 5.687 5.268 4.947 4.86 5.389 4.855 4.934 5.213 5.358
"7" 4.619 5.095 5.251 4.989 5.204 5.664 4.913 5.039 5.219 4.891 5.108 5.371 5.472 5.126 5.104 4.707 5.15 4.975 4.899 5.1 5.187 5.027 4.834 5.316 4.79 4.841 4.626 6.374 5.435 5.423 4.939 5.212 5.49 5.373 5.396 5.245 5.086 5.414 4.965 5.29 5.288 5.351 5.36 5.429 4.615 4.392 5.144 4.623 5.1 5.111 5.176 6.324 5.204 5.28 5.071 5.45 4.861 4.889 5.169 5.36
"8" 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6.985 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
"9" 4.644 4.594 4.474 4.668 4.7 4.727 4.807 4.762 4.777 5.683 4.815 4.645 7.44 4.711 4.836 4.563 4.885 4.511 4.856 4.76 4.743 4.875 4.693 4.641 4.743 4.726 4.806 4.743 4.555 4.792 4.587 4.841 4.709 4.69 4.643 4.518 4.775 4.646 4.679 4.752 4.96 4.482 4.731 4.786 4.78 4.733 4.762 4.536 4.562 4.852 4.712 5.28 4.655 4.708 4.767 4.778 4.734 4.701 4.904 4.846
"10" 2.262 2.355 2.723 2.188 2.45 2.765 2.046 2.29 2.026 2.161 2.223 2.115 2.848 2.627 2.285 2 2.296 2.049 2.148 2.051 2.461 2.48 2.041 2.468 2 2.011 2.067 2.499 2.589 2.232 2.276 2 2.486 2.306 2 2.04 2.303 2.469 2.07 2.331 2.166 2.241 2.628 2.601 2.009 2.211 2.404 2.494 2.307 2.001 2.034 2.481 2.028 2.039 2 2.42 2.192 2.536 2.153 2.588
"11" 4 4 4 4 4 4 4 4 4 4 4 4 5.282 4 4 4 4 4 4 4 4 4 4.536 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
"12" 4 4 4 4 4 4 4 4 4 4 4 4 5.506 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
"13" 4.547 4.689 4 4 4 4.614 4 4.761 4.324 4.076 4 4 4 4.433 4 4.532 4.217 4.254 4 4.502 4.364 4 4 4.739 4.413 4.711 4 4 4 4.548 4 4.649 4.646 4.349 4.672 4.686 4.665 4 4 4 4.594 4.304 4.752 4 4 4 4.75 4.613 4 4.743 4.677 4 4 4 4.046 4.698 4 4.713 4.217 4
"14" 4 4.565 4.335 4.359 4 4 4 4.518 4.558 4.346 4.681 4.685 4 4.471 4.219 4.757 4.492 4.504 4 4.689 4.792 4.681 4.127 4.377 4.236 4.715 4.832 5.234 4.576 4.751 4 4.266 4.521 5.086 4.59 4 4.302 4.554 4.728 4 4.714 4.559 4.323 4.962 4.551 4.359 4.227 4 4.649 4.241 4.395 4 4.291 4.207 4 4.25 4 4.607 5.048 4.383
"15" 4.678 4.749 5.405 4.912 5.217 5.966 5.145 4.827 5.046 4.851 5.257 5.115 5.769 4.776 5.647 4.587 4.766 4.94 5.731 4.901 5.247 5.115 4.954 4.999 4.847 5.516 5.079 5.687 4.579 4.728 4.98 4.763 4.729 5.394 5.671 5.26 4.779 5.489 4.937 5.779 5.624 4.718 4.778 5.52 4.765 5.035 4.843 4.775 5.204 4.724 4.827 6.01 5.631 5.615 5.227 4.823 5.155 4.808 5.716 5.532
"16" 4.127 4 4 4.384 4.251 4.807 4.043 4 4.222 4 4.03 4.28 5.015 4 4.381 4 4.179 4.554 4.424 4 4.32 4.297 4.597 4.544 4 4 4 4.246 4 4.316 4.316 4 4 4.642 4.34 4.038 4 4.36 4 4.393 4.483 4.327 4.091 4.642 4.225 4.229 4.49 4 4.315 4.171 4.292 4.723 4.193 4 4 4.634 4.313 4.408 4 4.242
"17" 4.875 5.833 5.292 4.588 4.143 5.478 4.724 4.728 5.122 5.204 5.212 5.404 5.623 4.873 4.672 4.235 5.372 5.006 6.266 4.934 5.208 5.243 4.74 4.953 5.034 5.078 5.316 5.315 4.51 4.371 5.237 4 5.555 4.648 4.496 4.381 4.222 5.237 5.187 4.461 4.117 5.01 5.353 4.684 4.416 4.176 5.606 4.129 5.477 4.484 4.348 5.373 5.251 4.485 4.664 5.011 4.904 5.326 4.786 5.338
"18" 3.901 4.211 4.845 3.954 4.762 5.191 3.938 4.222 3.787 3.984 3.974 4.033 5.077 4.434 4.194 3.725 3.881 3.933 3.948 3.844 4.395 4.205 4.156 4.481 3.798 3.902 3.93 5.229 4.246 4.019 4.576 3.69 4.833 4.548 3.951 3.866 4.007 4.08 3.997 4.122 4.479 4.457 4.408 4.638 3.802 3.97 4.052 3.958 4.449 4.015 4.269 5.227 4.058 4.254 3.765 4.37 4.028 4.693 4.154 4.515
"19" 4.753 5.016 5.053 4.833 4.922 5.213 4.683 5.069 4.972 4.781 5.417 5.379 5.455 4.934 4.836 4.792 4.85 5.216 5.512 5.25 5.304 4.967 4.941 5.018 4.943 5.069 4.979 5.477 5.357 4.855 5.089 4.826 5.277 4.915 4.845 5.009 4.688 5.143 5.125 5.471 4.891 5.158 5.102 4.952 4.918 4.93 5.441 4.807 5.044 5.24 4.552 5.464 5.127 4.579 4.825 5.225 4.9 5.088 4.986 5.199
"20" 4.733 5.602 5.504 4.979 4.789 6.214 4.794 5.244 6.281 4.807 6.085 5.598 6.236 5.553 5.51 6.275 4.814 5.264 6.148 5.285 5.41 5.22 4.928 5.755 5.192 5.901 5.756 4.879 5.414 4.707 6.118 4.88 5.903 5.844 5.478 4.936 4.806 5.46 4.832 5.453 5.776 5.434 5.094 5.843 5.656 5.363 5.142 4.899 5.087 4.795 5.6 6.484 5.32 5.123 4.83 5.48 5.196 6.058 5.526 5.377
